USER_ID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12,Q12S1,Q13,Q13S1,Q13S2,Q14,Q14S1,Q15,Q15S1,Q15S2,Q61,gender,age,chiiki
16,3,3,2,2,80,20,50,50,50,30,75,15,35,40,20,10,2,2,2,2,2,1,2,NA,0,1,1,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,2,1,36,13
17,3,1,1,1,5,6,5,5,8,8,5,5,3,3,3,3,3,2,3,3,3,6,1,NA,0,1,0,0,0,0,0,0,2,NA,NA,1,6,3,2,1,1,1,1,4,2,69,12
18,4,NA,1,4,100,0,100,50,0,0,100,0,100,50,0,0,1,1,1,1,1,1,1,NA,0,1,0,0,1,1,0,0,1,1,3,NA,NA,NA,2,6,1,1,3,4,1,62,41
19,4,NA,3,5,10,55,0,55,5,0,50,50,0,50,0,0,3,3,5,5,3,1,2,NA,0,0,1,0,1,1,0,0,1,5,2,NA,NA,NA,2,1,1,2,2,4,1,65,46
20,3,3,2,6,50,0,50,50,0,0,70,0,0,10,0,0,3,2,2,2,3,1,2,NA,0,1,1,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,2,NA,NA,99,2,61,41
21,3,2,1,4,100,0,80,0,0,0,100,0,80,0,0,0,2,2,2,2,2,1,1,NA,0,1,0,1,1,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,2,2,70,4
22,2,3,1,8,15,50,40,40,50,50,17,50,0,40,50,50,4,4,3,3,3,8,NA,8,0,0,1,0,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,8,7,2,1,38,31
23,3,1,2,5,0,25,25,25,25,25,25,0,25,25,25,25,4,4,4,4,5,8,NA,8,0,1,0,0,0,1,1,0,2,NA,NA,1,5,5,1,NA,1,4,4,4,1,50,14
24,3,1,1,8,50,50,50,50,50,50,50,50,20,50,50,20,2,2,2,2,2,8,NA,8,0,0,1,0,0,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,4,1,4,2,41,13
25,3,1,2,7,30,0,50,50,60,50,30,0,50,50,60,50,4,3,3,3,4,8,NA,8,0,1,0,0,0,0,0,0,3,NA,NA,2,NA,NA,NA,NA,1,2,2,4,2,60,3
26,3,3,1,1,90,60,50,60,0,0,80,40,30,60,0,0,2,2,1,2,2,1,2,NA,0,0,1,0,1,1,1,0,2,NA,NA,1,1,1,1,NA,1,1,1,4,1,64,7
27,2,3,3,7,50,50,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,8,NA,8,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,1,62,40
28,1,3,2,7,0,0,0,0,0,50,0,0,0,0,20,50,5,5,5,5,5,8,NA,8,1,0,1,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,1,5,5,4,1,71,42
29,3,3,1,8,100,50,0,0,0,0,100,0,0,0,0,0,1,1,1,1,1,1,2,NA,0,0,0,0,1,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,1,1,2,1,45,12
30,3,3,2,1,50,50,50,50,10,20,50,50,50,50,30,20,3,4,3,3,3,1,2,NA,0,0,0,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,2,2,48,25
31,1,1,2,4,15,15,10,15,10,20,15,15,10,15,15,20,4,4,3,3,4,8,NA,8,1,1,1,1,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,5,2,3,1,61,27
32,3,1,1,2,75,0,50,50,0,0,80,0,50,50,0,0,3,2,2,2,2,1,1,NA,0,0,0,0,1,0,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,2,2,53,25
33,2,3,2,8,75,25,50,25,50,50,50,25,50,25,50,25,3,2,1,2,2,8,NA,1,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,66,9
34,3,3,2,8,25,25,25,25,25,25,25,25,25,25,25,25,4,5,3,5,4,8,NA,8,0,0,1,0,0,0,0,0,3,NA,NA,2,NA,NA,NA,NA,1,5,5,2,2,57,27
35,1,2,2,4,0,100,0,50,70,70,0,100,0,60,70,70,5,3,4,4,5,2,2,NA,1,0,1,0,0,0,0,0,2,NA,NA,1,2,2,1,NA,2,NA,NA,4,1,47,28
36,3,3,1,5,0,50,0,20,20,20,10,30,10,10,20,10,5,5,5,5,5,8,NA,8,1,0,0,0,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,8,7,2,2,67,28
37,3,1,1,5,0,0,0,0,100,100,0,50,0,0,100,100,5,5,5,5,5,7,1,NA,1,0,1,1,0,0,1,0,2,NA,NA,1,2,5,2,1,1,7,6,3,2,63,17
38,3,2,2,8,75,0,50,0,25,0,75,0,50,25,25,0,4,2,1,2,2,8,NA,1,0,1,0,0,0,1,0,0,3,NA,NA,2,NA,NA,NA,NA,1,1,1,4,1,40,33
39,3,1,1,2,40,70,60,50,40,30,40,60,40,50,40,40,3,3,2,2,4,2,2,NA,0,0,0,0,0,1,0,0,2,NA,NA,1,2,2,1,NA,1,2,2,1,1,74,23
40,1,3,1,6,55,50,0,70,55,50,50,50,0,60,50,50,3,3,2,2,3,8,NA,4,0,0,1,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,99,2,47,23
41,3,1,1,8,0,50,0,0,100,0,0,50,0,0,100,0,5,5,5,5,5,8,NA,8,1,0,0,0,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,8,7,4,1,28,1
42,3,2,1,7,10,50,50,0,80,70,30,20,20,0,80,70,3,4,4,3,4,8,NA,5,0,0,0,1,0,0,1,0,2,NA,NA,2,NA,NA,NA,NA,1,2,2,4,1,49,27
