fem,age,educ,inc,child,youtube,diver1,diver2,diver3,diver4,diver5
0,67,5,13,1,2,3,4,4,3,2
1,57,4,3,2,2,3,4,4,4,4
0,41,2,2,1,3,1,1,3,1,1
1,23,3,7,1,7,5,4,3,3,4
0,47,2,14,2,4,4,4,4,4,3
0,69,3,9,3,2,5,5,4,4,5
0,69,3,6,2,7,2,3,3,3,3
0,64,5,8,2,2,4,4,4,4,4
1,41,2,2,1,1,4,1,2,1,3
1,75,2,6,3,2,3,5,3,5,5
0,70,5,11,3,2,3,4,4,3,3
0,27,5,8,1,2,3,4,3,3,3
0,64,2,6,3,2,2,3,4,2,4
0,38,5,9,2,2,4,4,4,4,4
0,61,5,12,2,5,5,4,4,3,4
0,39,5,10,2,3,4,4,4,3,3
0,35,5,13,2,1,3,3,3,3,3
1,56,4,1,1,3,3,3,3,3,3
0,50,5,11,2,4,3,4,4,4,4
0,54,2,6,1,2,3,3,4,2,4
0,77,5,8,3,2,2,4,3,3,3
1,37,5,3,1,3,4,5,2,4,3
0,33,5,9,1,4,2,3,2,3,2
1,30,5,1,2,5,4,4,4,4,3
1,62,5,6,2,5,5,5,5,5,5
0,62,6,NA,2,2,3,4,4,4,3
0,24,5,NA,1,3,3,3,3,3,3
1,55,2,4,2,2,4,4,4,5,4
1,50,4,10,1,1,3,3,3,3,3
1,76,5,5,3,1,3,4,4,3,3
1,77,2,3,3,1,3,3,4,3,4
1,54,5,1,2,4,4,4,4,4,4
0,62,5,12,3,1,3,4,3,3,4
1,51,2,3,1,4,4,4,4,4,4
0,56,3,NA,1,2,5,4,5,4,5
1,49,2,NA,2,3,4,3,3,2,2
0,39,5,12,2,2,3,4,4,4,3
0,50,2,NA,1,2,3,3,3,3,3
0,48,5,12,1,5,4,4,4,4,4
0,41,5,10,2,2,3,3,3,3,3
0,66,5,10,3,5,4,4,4,4,4
0,60,3,10,2,3,3,3,3,3,3
1,54,2,NA,1,4,4,4,4,4,4
0,76,6,6,3,1,3,3,3,3,4
1,70,3,8,1,2,5,5,5,4,4
1,73,5,NA,3,2,2,4,4,2,4
1,76,2,6,3,3,4,3,4,3,4
0,51,2,14,2,1,4,4,4,4,4
1,62,3,1,3,7,3,3,3,3,2
0,64,5,2,1,2,4,4,4,3,3
0,47,5,15,3,2,3,4,4,2,4
1,41,2,17,2,3,5,4,5,3,4
0,27,3,NA,1,1,1,1,1,1,1
0,59,5,11,1,2,5,4,4,4,4
0,46,5,NA,2,3,4,4,4,4,4
1,40,5,9,2,3,4,4,4,4,3
1,72,4,2,3,2,3,3,4,4,4
1,61,2,4,1,2,3,4,5,3,4
0,74,5,8,2,2,3,4,4,3,4
1,75,5,5,3,4,1,2,1,1,3
0,44,2,8,1,3,3,4,4,3,4
0,64,5,6,3,4,4,4,4,4,4
0,64,3,NA,2,1,1,1,1,1,1
0,59,1,6,1,3,2,2,3,4,3
1,75,5,3,3,3,3,4,4,3,3
1,77,1,3,3,1,4,2,3,4,2
0,41,5,1,1,5,4,4,4,4,2
0,36,5,NA,1,1,5,4,5,5,3
0,48,2,9,2,5,3,1,3,2,1
1,50,4,6,1,1,4,4,4,4,5
0,65,6,12,2,1,4,3,3,3,3
1,33,5,9,2,3,4,4,4,4,4
0,58,2,2,1,3,4,4,4,4,4
0,55,2,4,1,4,4,4,4,4,2
0,70,5,NA,3,1,3,3,3,3,3
0,58,2,3,1,1,2,4,4,3,4
1,59,2,NA,3,2,3,3,3,3,3
0,65,5,8,3,4,3,3,3,3,3
1,33,5,1,2,3,4,4,4,2,4
1,59,5,2,2,2,3,4,4,2,3
1,44,5,3,2,1,3,4,4,4,4
0,42,4,13,1,7,2,2,2,2,2
1,58,2,4,3,2,4,4,4,4,4
1,50,5,6,2,4,4,4,5,4,4
1,75,4,2,3,2,4,4,4,4,4
0,70,6,7,2,2,3,4,4,2,3
0,43,5,8,1,4,3,3,3,2,3
0,66,5,6,2,3,1,1,1,1,3
1,50,5,3,2,4,4,4,4,4,4
1,76,5,7,2,1,2,4,4,3,4
1,49,2,3,2,1,3,3,3,3,3
1,51,5,8,1,5,3,4,4,4,4
0,21,5,NA,1,4,3,4,4,3,4
1,21,5,2,1,2,2,1,4,3,4
0,71,5,9,3,2,3,4,4,3,4
1,49,4,9,1,1,3,4,4,3,4
1,71,5,NA,1,1,3,3,4,3,3
0,62,5,2,3,3,3,3,3,3,4
1,34,1,1,1,2,2,4,3,3,3
1,55,2,1,3,1,3,4,4,3,4
0,51,5,15,1,2,4,3,4,4,2
0,66,2,7,3,3,3,3,3,3,3
0,55,5,12,3,2,4,4,4,4,4
0,55,NA,NA,1,2,2,3,3,2,2
1,43,4,9,2,1,4,4,2,4,4
0,37,2,10,2,2,5,5,5,5,5
0,56,2,4,1,1,3,3,3,3,3
0,58,2,10,3,1,3,3,4,3,3
1,76,5,7,1,1,3,4,4,4,4
1,74,2,3,1,1,2,3,3,2,3
1,74,2,NA,1,1,4,4,4,3,4
0,75,6,4,3,3,3,4,4,3,4
1,74,2,NA,2,1,3,3,3,3,3
1,49,4,NA,1,4,4,4,4,4,4
0,49,5,16,2,4,4,4,5,4,5
0,74,5,7,3,1,4,4,4,4,4
1,57,4,1,1,1,4,5,4,4,4
1,18,5,1,1,2,4,5,5,5,3
0,76,5,7,3,2,5,4,3,4,4
1,42,2,3,2,4,3,3,3,3,4
0,51,2,1,1,4,3,3,3,3,3
0,48,5,NA,1,4,3,5,5,5,3
0,22,5,1,1,3,4,4,3,3,3
0,66,5,9,3,4,3,4,4,4,4
0,36,5,7,1,6,3,3,3,4,4
1,55,5,3,2,4,3,4,4,3,4
0,28,5,6,1,6,1,1,1,1,3
1,73,2,3,3,3,4,4,4,4,4
0,57,2,8,1,1,3,3,4,3,3
1,70,2,4,3,7,2,4,3,3,3
1,46,5,NA,2,3,5,4,5,3,5
1,23,5,4,1,2,3,4,3,3,4
1,71,2,3,3,2,3,4,4,2,3
0,53,2,7,3,3,2,3,3,3,3
1,74,6,7,3,1,3,3,3,3,3
1,70,5,1,3,1,2,3,5,3,2
0,33,6,11,2,2,3,3,3,4,3
0,37,5,10,2,2,3,3,3,2,2
1,59,2,6,3,2,2,3,3,2,2
1,37,2,1,2,3,4,4,4,3,4
0,50,5,13,2,1,5,5,5,4,4
1,67,5,1,3,5,1,3,3,2,4
1,31,2,NA,1,1,3,3,3,3,3
0,64,2,6,2,1,3,4,4,3,4
0,47,5,6,1,6,3,3,3,3,3
1,41,4,3,1,4,4,4,4,4,4
0,25,5,8,1,3,4,4,4,4,3
0,20,2,2,1,2,4,3,2,4,4
0,26,2,3,1,4,3,3,3,3,3
0,45,5,2,1,7,3,4,4,3,4
1,43,3,6,1,6,2,4,2,4,4
1,28,5,7,1,3,2,4,4,3,4
0,37,5,11,2,3,5,4,5,4,5
0,73,5,6,2,1,4,4,3,3,4
0,41,3,10,1,1,4,4,3,3,3
1,30,5,8,1,4,3,4,3,4,3
0,36,4,10,1,4,2,3,4,3,4
0,26,5,8,1,5,5,4,4,4,4
0,49,5,15,1,2,3,4,5,3,4
0,46,2,8,1,2,3,3,3,3,3
