Temp_Rikken,Ideology,Interest,Gender,Age,Education,Job,Income
0,8,1,2,45,3,1,6438247
70,4,1,1,70,4,5,3596201
0,7,2,2,53,3,6,17159158
20,9,2,2,62,4,6,4433057
60,5,2,2,46,3,4,7427765
0,4,2,1,49,3,1,9508166
40,6,3,2,57,3,4,6420039
0,6,3,1,28,4,1,12990483
10,7,2,2,71,4,4,999085
30,8,2,2,51,4,4,24978978
0,6,3,2,70,2,4,2558379
0,6,1,1,50,4,2,11024240
50,6,3,1,51,2,1,3572882
0,8,2,1,38,4,1,6468957
50,6,2,2,65,2,4,6471573
40,5,2,1,66,3,5,643629
50,9,2,2,68,4,5,6402320
5,6,2,1,53,4,1,9511197
50,9,4,2,42,3,5,3626355
1,10,1,1,39,3,2,4509799
50,6,2,2,74,1,4,2546585
0,10,4,1,43,2,1,9337857
25,7,3,1,33,2,1,906328
50,4,1,1,70,4,5,2596359
20,9,2,1,75,4,5,7512443
0,8,3,1,34,2,1,3659739
10,8,2,2,70,4,4,6646640
0,4,2,1,41,4,1,6609912
60,6,4,2,50,4,4,9492949
50,6,2,1,60,4,1,16919023
50,9,3,2,56,3,1,2566356
50,4,4,1,48,4,1,6520865
40,5,2,1,40,4,1,17131551
40,6,2,1,49,4,1,6405039
10,5,2,1,61,2,5,869092
0,11,2,1,47,3,1,2781670
25,6,2,1,35,3,1,8644016
50,4,2,1,43,2,1,2677803
50,8,2,1,42,4,1,17008249
50,6,3,2,54,2,4,4496517
20,8,1,1,54,4,5,1016172
70,4,2,1,74,4,1,6492393
0,7,2,2,45,3,4,3614995
100,3,2,2,71,2,4,2586098
70,4,2,1,47,4,1,6518546
10,6,3,1,66,3,5,1064965
50,6,2,2,42,4,1,7537350
50,4,3,1,38,4,1,7494841
80,5,2,1,52,3,1,1144322
30,10,1,1,71,4,5,8621897
50,4,3,2,60,2,1,4494134
0,5,3,1,45,3,2,2452750
50,6,2,2,52,2,2,3301136
50,6,2,1,58,4,1,4371715
50,4,3,1,36,4,2,1099702
50,9,2,2,44,2,1,6563908
0,8,2,2,41,4,4,9360361
50,9,2,1,50,3,1,11004807
50,9,3,2,51,3,4,9639186
0,6,2,2,70,4,5,16965443
0,11,1,1,38,4,1,9625381
40,7,3,2,40,3,4,13000892
0,6,2,2,75,2,4,3604188
0,6,2,1,74,2,4,3559702
0,6,4,2,53,4,4,7592133
0,7,2,1,46,3,1,4732070
50,5,3,1,56,4,1,3487235
10,8,1,1,70,2,5,7520903
0,10,2,1,55,3,1,7271803
45,5,2,1,56,2,1,6333416
50,4,2,2,67,2,4,3532991
20,6,4,1,39,4,5,949014
50,9,4,2,39,4,1,3569471
0,8,2,1,43,2,1,3525869
40,6,1,1,48,3,1,3535600
0,6,1,2,63,3,4,2561932
0,6,4,2,32,3,5,2488380
50,6,2,2,52,4,4,10964186
40,9,3,2,63,3,1,3534929
25,4,2,2,28,4,1,7484763
30,5,2,2,61,2,4,1152767
5,8,3,1,43,3,1,13101325
15,7,2,1,29,2,2,3548537
50,4,3,1,35,4,1,6510143
50,6,3,2,53,4,5,4500162
50,5,3,1,38,2,1,4547355
30,4,2,2,27,4,4,2312449
0,9,1,1,73,4,5,7612376
50,6,1,1,52,3,2,918295
20,6,2,1,39,3,1,950590
5,4,4,1,58,4,1,8522464
25,6,4,1,47,4,1,4512630
0,6,2,2,44,1,4,25004575
50,5,2,1,70,4,5,7703545
0,7,2,1,68,2,5,821424
50,6,3,2,58,3,4,7515954
30,10,3,2,74,1,5,4512963
40,5,1,1,63,4,1,12962310
50,8,2,1,60,4,1,4518342
50,6,3,2,32,1,5,3533921
50,6,3,2,53,4,5,2476504
60,4,2,1,61,2,5,1128949
20,8,3,2,70,2,4,2633481
60,6,1,1,62,2,1,4415137
50,6,3,1,54,2,1,4650114
0,11,4,2,49,3,1,2515109
0,5,4,1,36,4,1,9604105
50,8,2,2,64,2,4,4568442
70,8,2,1,53,2,1,4487095
20,5,2,1,70,4,2,1024846
5,6,1,1,56,4,5,2296485
60,9,2,2,66,4,4,4466652
50,6,2,2,47,3,1,9571987
50,6,2,2,70,3,4,8640729
10,9,3,2,55,2,1,3432790
20,9,2,2,75,3,4,3374757
15,8,1,1,62,3,5,1270074
20,7,2,2,33,2,1,2377007
1,6,3,1,36,2,2,2568205
50,6,2,1,46,4,1,9622577
60,3,2,2,64,4,4,10926050
0,8,3,1,69,2,5,1137665
25,6,2,1,52,4,1,1094332
0,8,1,1,68,2,2,7444371
0,3,2,1,35,4,1,11069191
0,10,2,1,71,4,2,3489945
40,6,2,2,35,4,4,8506552
0,6,2,1,45,2,2,6629836
50,1,3,1,42,4,1,3472128
0,6,1,2,60,3,4,4408912
60,6,1,1,62,2,1,8443825
0,4,2,2,47,1,1,1198135
40,6,2,2,51,4,4,9440280
55,10,2,2,47,3,5,6494660
30,8,1,2,72,3,4,3411250
0,6,3,2,58,3,1,1050667
25,7,2,2,37,4,1,9492182
55,6,2,1,43,2,1,6374530
80,3,1,1,49,1,1,2402216
10,4,3,1,57,2,1,13143700
0,6,3,2,42,3,1,7547993
50,9,3,2,56,3,4,8523416
0,10,3,1,68,4,5,2554243
0,5,4,1,44,2,1,6477662
50,6,2,1,47,4,1,8551919
40,7,3,2,51,3,4,975943
80,3,3,1,71,2,5,2419215
20,2,1,2,72,4,4,2643109
40,3,1,2,59,4,1,24982056
20,5,2,2,63,4,4,1041796
10,6,1,2,70,2,4,9766603
75,6,1,1,53,4,1,12771469
50,6,2,2,46,4,2,6383312
50,7,2,2,51,2,4,6523520
10,5,1,2,70,2,4,4410406
60,7,3,2,64,4,4,4475741
100,5,2,2,73,4,5,1066917
20,6,2,2,43,3,1,2507644
20,8,2,1,35,4,1,6520106
50,8,2,2,75,2,4,6512021
40,9,1,1,72,4,5,970509
50,6,3,2,49,3,1,924288
50,7,3,1,54,3,5,895185
75,5,2,2,71,2,4,2632736
0,4,3,1,70,4,5,9548783
70,1,1,1,60,2,1,6396494
0,10,1,2,60,4,6,9445778
0,6,3,2,64,3,4,3650117
0,5,2,1,51,4,1,6437313
50,6,3,2,40,4,1,4552751
20,6,2,2,67,3,4,4474447
0,6,3,2,43,3,4,7631627
10,7,2,2,45,2,4,6614940
0,7,4,2,32,4,1,3308055
50,6,4,2,50,2,2,3513586
100,1,1,1,60,4,4,13022585
0,4,3,1,36,4,1,13061041
25,6,2,2,55,2,1,6520327
50,1,2,2,39,3,4,2588567
0,8,2,2,54,3,4,2453670
70,7,2,1,67,3,5,1028418
50,4,2,1,34,4,1,7477673
60,4,2,1,67,2,5,877289
50,7,2,2,68,3,1,8636128
50,8,4,2,35,3,1,9344910
0,9,1,1,75,4,5,7407466
80,7,2,1,56,3,1,905400
60,7,2,2,64,4,4,2463261
50,5,2,2,30,2,5,3522152
40,7,2,1,29,3,1,4432722
40,3,3,2,48,3,1,9306949
30,6,2,2,55,2,1,2571433
60,8,1,2,74,3,4,7456009
50,7,4,2,54,3,1,7490523
25,8,2,1,58,4,1,9457900
50,4,2,2,62,4,4,4463282
0,3,2,1,29,4,5,9592569
80,4,2,2,70,4,4,6422705
0,8,2,1,47,4,1,3668131
50,8,3,2,51,2,1,8612796
0,9,1,1,65,4,5,10997168
25,4,2,1,40,4,1,6393363
50,6,2,1,70,4,5,4605075
20,5,3,2,56,3,4,2442953
0,6,2,2,67,4,5,1001517
0,6,2,2,65,2,4,10950454
50,7,4,1,35,4,1,7432563
0,6,2,2,66,2,4,961137
0,5,2,1,70,4,5,2510311
50,7,2,1,56,4,2,7466858
100,1,1,2,69,2,4,1159635
80,7,1,2,67,2,4,3464586
30,6,4,2,39,2,1,2607383
50,10,2,1,57,4,1,6431573
50,6,3,2,46,3,2,2560133
25,5,2,2,38,4,1,7551178
50,6,2,1,71,4,2,7532942
20,4,3,2,44,3,1,4594788
50,9,2,1,67,2,5,3343865
30,4,2,1,55,4,2,2323114
50,7,2,2,55,3,1,16915727
40,7,2,1,69,2,5,3437828
75,5,1,2,56,2,4,890418
50,6,3,2,37,4,1,4605652
0,6,2,1,44,3,2,3473858
0,3,3,1,72,4,5,1194165
20,3,1,1,61,2,4,6656032
10,5,3,2,55,2,1,9686567
10,5,3,2,63,3,1,6341765
0,11,4,1,49,2,1,1060339
50,6,2,2,51,3,4,2391712
50,6,3,2,28,4,1,8510068
0,6,3,1,38,4,2,7521059
0,6,3,2,54,4,5,952077
50,5,3,1,36,2,1,2228278
100,6,1,2,56,3,4,9464004
0,6,2,1,68,2,5,2393594
20,7,3,2,68,3,4,11034079
50,6,3,1,64,4,2,4627681
40,6,3,2,71,2,4,8409148
80,6,3,2,64,2,4,1227787
60,4,1,2,50,3,2,6497171
60,6,2,2,53,4,4,16917886
100,9,1,1,47,4,1,7568467
50,6,1,2,70,2,4,3356606
30,8,2,1,56,4,1,9545511
0,6,3,1,59,4,1,13136461
40,6,3,2,50,2,4,4762168
50,5,4,1,26,4,4,9552213
50,8,3,1,45,4,1,10926125
50,6,2,2,51,2,4,2591597
10,5,1,2,63,2,4,2349903
20,7,2,1,37,4,1,6392395
40,6,2,1,54,4,1,4468785
75,5,2,2,60,3,4,6216009
50,5,2,2,60,4,4,3624280
10,6,2,1,50,2,1,1026030
0,2,2,2,50,3,1,2419142
50,6,3,2,67,3,4,9413213
10,8,2,2,43,3,1,6464761
30,6,2,1,38,4,1,6507627
30,6,2,2,43,3,4,3320030
70,7,2,2,61,4,1,6523282
40,11,1,1,66,4,2,7600067
50,8,2,1,44,4,1,7543536
75,6,1,1,39,4,1,6646856
0,6,4,1,47,3,1,7583867
0,11,2,1,43,4,1,10829841
1,10,2,1,65,4,1,2411111
40,7,2,1,63,2,1,846067
80,2,1,1,59,4,1,9486490
50,8,2,2,61,2,4,878738
40,9,2,2,60,4,4,7714303
0,6,2,1,29,4,1,6552753
50,9,3,1,50,4,1,4471555
10,6,1,1,63,2,5,2532684
50,6,3,2,36,4,1,3584591
80,5,1,2,75,3,4,9428103
60,5,2,1,43,2,1,7366255
50,1,2,1,31,4,1,6439455
10,6,3,2,60,2,4,4534845
50,6,2,2,53,2,1,12819760
10,2,2,1,52,4,1,4349037
30,8,3,1,38,4,1,6422838
75,8,2,1,37,4,1,7556043
100,2,1,2,75,2,5,3671722
50,7,3,1,40,2,2,4554625
20,5,2,2,64,4,4,17051849
50,6,2,1,67,4,1,4636100
30,7,2,2,69,3,4,6438377
20,4,2,2,49,4,1,8557918
65,4,3,1,63,4,5,9200115
0,7,2,1,56,4,1,11230404
0,6,2,2,74,2,5,1225892
100,6,2,1,55,4,2,6395143
20,7,2,2,73,2,4,4277493
30,6,2,1,65,2,5,9464793
40,5,1,2,56,4,1,4537704
50,6,2,2,71,3,2,2516102
10,6,3,2,40,2,1,10839746
70,6,2,2,67,2,4,2683038
75,7,1,1,66,2,1,4502407
0,6,2,2,67,3,4,4477084
70,4,3,2,49,3,2,2517178
30,5,2,1,55,2,1,9587244
55,6,3,1,51,4,1,8760235
75,6,2,1,43,4,1,9474783
20,6,4,1,45,2,5,2602480
1,6,2,1,39,3,1,9582413
45,7,1,1,60,4,2,11090889
50,6,3,1,52,1,4,24923226
0,6,2,1,68,1,1,4608906
30,6,2,2,59,4,1,7252268
0,6,2,1,46,4,1,7494319
45,8,1,1,44,4,1,7576921
50,6,2,1,39,3,1,8611865
100,7,3,2,61,3,4,24831213
90,4,2,1,39,4,1,4551643
50,6,2,1,67,4,1,6509385
40,5,2,1,60,4,5,11023385
30,7,3,1,62,2,2,3371688
40,9,2,2,50,3,4,9545896
80,1,1,1,69,4,5,16903344
0,9,2,1,74,2,5,3605848
0,6,2,2,70,3,4,8325407
0,8,1,1,71,4,6,3495016
0,6,3,2,48,4,1,7453251
50,5,2,1,29,4,1,2675638
0,6,2,2,44,3,1,3339127
50,8,3,2,34,3,1,13084002
60,5,2,1,38,4,1,6400568
50,6,2,2,61,2,5,4598168
50,6,3,2,46,4,1,2459079
60,7,2,2,60,2,1,4638350
0,4,2,1,66,3,5,9474330
50,7,4,2,52,2,1,8550449
50,6,2,2,49,2,1,1027862
60,5,2,1,68,2,5,3578194
30,7,2,2,56,2,4,8630549
100,1,1,2,47,3,4,864394
50,6,2,1,64,4,2,4526703
0,6,4,2,42,2,1,2542685
40,3,1,1,68,4,5,4618504
50,8,3,1,70,2,5,4623685
30,8,1,2,72,2,4,4496075
50,6,3,2,47,4,1,9645470
40,6,2,1,70,2,5,2618591
50,8,3,1,62,4,1,11131880
10,5,2,2,45,3,1,8568749
10,7,2,2,52,3,4,4648818
0,7,1,2,70,4,4,6429759
0,8,3,1,42,3,2,1023329
50,5,1,1,48,4,1,6463269
5,7,3,1,64,4,2,10884689
75,4,1,1,71,4,5,7588458
