Voted,Female,Age,Educ,Knowledge,Ideology
1,0,60,4,5,5
1,1,62,3,5,1
1,0,67,4,5,2
1,1,46,2,1,7
1,1,32,3,3,8
0,0,52,3,1,6
0,0,30,4,5,8
1,1,54,4,4,3
1,0,73,4,5,2
1,1,73,4,5,3
1,0,65,4,5,5
1,0,31,4,4,7
1,1,43,3,4,5
0,1,51,2,5,8
1,0,65,2,3,5
0,0,40,2,2,5
1,0,22,2,5,1
1,0,60,4,4,6
1,1,63,2,5,10
1,0,63,2,5,6
0,0,61,4,4,4
0,0,52,4,3,5
0,0,61,4,4,7
1,0,49,2,5,3
1,0,47,2,4,5
1,0,24,4,2,6
0,1,64,4,4,6
1,1,50,2,5,5
1,0,42,3,5,5
0,1,31,4,5,7
0,1,44,3,5,10
1,1,71,3,5,5
1,0,69,4,5,8
1,1,64,4,5,3
0,0,44,4,5,0
0,0,34,2,5,5
1,1,36,3,1,8
1,1,71,2,4,7
1,0,72,4,2,8
0,0,46,4,4,7
0,1,65,3,5,4
1,1,46,4,3,4
1,1,74,2,4,8
1,1,66,4,5,8
1,0,49,4,5,4
1,0,37,2,5,5
0,0,42,3,3,5
1,0,33,4,5,6
1,0,68,4,5,2
1,1,75,2,5,5
1,1,63,4,5,8
1,0,22,2,5,7
1,1,65,3,5,8
1,1,72,2,4,5
0,0,70,4,5,6
1,1,70,3,5,4
1,0,37,4,5,7
1,1,61,4,5,3
1,0,75,4,5,8
1,0,54,4,3,5
1,1,26,4,4,6
1,0,34,2,3,6
0,1,40,4,2,5
1,1,52,4,5,6
1,0,68,2,5,8
1,1,71,3,5,8
1,0,74,4,3,2
1,1,71,2,4,5
0,1,29,4,4,6
1,1,77,2,5,4
1,1,70,2,3,3
1,0,72,2,5,5
1,1,59,3,4,8
1,1,61,4,3,2
0,1,41,4,3,6
1,1,73,2,3,5
1,0,63,4,1,9
0,0,55,4,5,8
1,0,73,1,4,2
1,0,43,4,5,6
0,0,21,2,5,7
1,0,55,4,3,5
1,1,30,4,5,7
1,0,41,4,4,3
1,1,70,3,5,5
1,0,29,4,5,10
1,0,47,4,5,3
1,0,74,4,5,6
0,1,26,4,1,2
0,1,30,4,4,4
1,1,52,2,5,3
0,0,51,2,4,4
0,1,66,2,3,5
1,1,43,4,5,8
0,1,30,4,3,3
1,1,43,4,3,2
1,1,27,3,4,7
0,1,24,4,3,5
0,0,29,4,5,6
1,0,47,4,2,7
1,1,65,3,5,4
1,0,35,2,3,5
1,1,52,3,5,5
0,0,23,2,5,3
1,0,73,4,5,7
1,0,75,4,5,3
0,0,32,4,3,0
1,0,65,4,4,7
1,0,41,2,5,8
1,0,70,2,1,5
1,0,65,4,5,3
1,0,59,4,2,7
1,0,37,4,3,6
1,0,59,2,4,5
1,0,35,4,5,6
1,0,68,4,4,7
1,0,39,2,4,4
1,0,39,4,5,8
0,0,36,4,2,7
0,0,37,4,2,8
0,0,53,4,4,5
1,0,70,4,2,3
0,1,59,3,3,6
1,0,70,4,5,8
1,0,70,4,5,8
0,1,40,3,4,8
0,1,52,3,3,9
0,1,47,3,4,4
1,1,70,3,5,5
1,0,70,2,5,5
1,0,41,4,4,3
1,1,43,3,4,5
1,0,37,4,4,9
1,0,29,4,5,8
1,1,70,4,5,3
0,0,35,4,3,5
1,1,42,4,2,4
1,1,48,3,5,5
1,0,62,4,3,5
1,0,73,4,5,4
1,0,49,2,2,10
1,0,46,4,5,5
1,1,70,2,5,5
0,0,61,3,5,4
1,0,52,4,2,3
0,0,39,4,3,8
1,1,72,4,4,4
